id,idTienda,nombre,precio,categario,marca,peso,volumen,imagen
37,1,Galleta Oreo 160g mini,1.9,0.16,,OREO,Galletas,https://www.ahorramas.com/galleta-oreo-160g-mini-80197.html
38,1,Café espresso onyx intensidad 12 L'Or 10 cápsulas,3.95,0.05,,L'OR,Cafés,https://www.ahorramas.com/cafe--espresso-onyx-intensidad-12-lor-10-capsulas-47438.html
39,1,Aceite de oliva Carbonell botella 1l sabor,5.99,0.96,1.0,CARBONELL,Aceites,https://www.ahorramas.com/aceite-de-oliva-carbonell-botella-1l-sabor-53989.html
40,1,Fabada asturiana receta selecta Litoral 420g,3.95,0.42,,LITORAL,Legumbres,https://www.ahorramas.com/fabada-asturiana-receta-selecta-litoral-420g-67001.html
41,1,Snack de patata Pringles 165g sour cream&onion,1.9,0.17,,PRINGLES,Patatas fritas,https://www.ahorramas.com/snack-de-patata-pringles-165g-sour-creamonion-45500.html
42,1,Galleta Chips Ahoy 160g mini,1.95,0.16,,CHIPS AHOY,Galletas,https://www.ahorramas.com/galleta-chips-ahoy-160g-mini-54567.html
43,1,Tortilla de patata con cebolla sin gluten Palacios 650g,4.45,0.65,,PALACIOS,"Tortillas de patata, bravas y croquetas",https://www.ahorramas.com/tortilla-de-patata-con-cebolla-sin-gluten-palacios-650g-65546.html
44,1,Sazonador Old El Paso 30g fajitas,1.19,0.03,,OLD EL PASO,Especias,https://www.ahorramas.com/sazonador-old-el-paso-30g-fajitas-20918.html
45,1,Galletas sin azúcar añadido Chiquilín 525g,3.5,0.53,,CHIQUILIN,Galletas,https://www.ahorramas.com/galletas-sin-azucar-anadido-chiquilin-525g-58383.html
46,1,Calamar Albo 72g en su tinta,2.49,0.07,,ALBO,Otras conservas de pescado,https://www.ahorramas.com/calamar-albo-72g-en-su-tinta-82772.html
47,1,Aceite de oliva virgen extra Maestros de Hojiblanca 1l,6.95,0.92,,HOJIBLANCA,Aceites,https://www.ahorramas.com/aceite-de-oliva-virgen-extra-maestros-de-hojiblanca-1l-49443.html
48,1,Empanada carbonara pollo 1unidad,3.15,0.5,,,Empanadas,https://www.ahorramas.com/empanada-carbonara-pollo-1unidad-31209.html
49,1,Mermelada melocotones extra de temporada Hero 350g,2.99,0.35,,HERO,Mermelada,https://www.ahorramas.com/mermelada-melocotones-extra-de-temporada-hero-350g-16786.html
50,1,Galleta de chocolate Tostarica Cuétara 210g,2.0,0.21,,TOSTARICA,Galletas,https://www.ahorramas.com/galleta-de-chocolate-tostarica-cuetara-210g-64238.html
51,1,Galleta sin azúcar añadido zero Gullón 400g digestive,1.6,0.4,,GULLON,Galletas,https://www.ahorramas.com/galleta-sin-azucar-anadido-zero-gullon-400g-digestive-76258.html
52,1,Salsa fina Ligeresa 430ml nature,2.39,0.43,,LIGERESA,Mayonesa,https://www.ahorramas.com/salsa-fina-ligeresa-430ml-nature-35120.html
53,1,Aceite de oliva virgen Carbonell garrafa 3l,18.75,2.75,,CARBONELL,Aceites,https://www.ahorramas.com/aceite-de-oliva-virgen-carbonell--garrafa-3l--48233.html
54,1,Caldo casero Gallina Blanca 1l cocido 100% natural,2.2,1.0,,GALLINA BLANCA,Sopas y caldos,https://www.ahorramas.com/caldo-casero-gallina-blanca-1l-cocido-100-natural-29421.html
55,1,Galleta rellena Príncipe lu 160g mini,1.95,0.16,,PRINCIPE,Galletas,https://www.ahorramas.com/galleta-rellena-principe-lu-160g-mini-82016.html
56,1,Patatas Ruffles jamón 275g,2.5,0.29,,RUFFLES,Patatas fritas,https://www.ahorramas.com/patatas-ruffles-jamon-275g-46359.html
